minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
159,9540000,9600000,60000,560,560,0.9524218555390443,123,true
160,9600000,9660000,60000,342,342,0.581657633204202,191,true
161,9660000,9720000,60000,378,378,0.6428847524888549,185,true
162,9720000,9780000,60000,424,424,0.7211194049081335,173,true
163,9780000,9840000,60000,442,442,0.75173296455046,167,true
164,9840000,9900000,60000,372,372,0.6326802326080795,186,true
165,9900000,9960000,60000,590,590,1.0034444549429218,97,true
166,9960000,10020000,60000,502,502,0.8537781633582148,148,true
167,10020000,10080000,60000,532,532,0.9048007627620921,136,true
168,10080000,10140000,60000,567,567,0.9643271287332824,118,true
169,10140000,10200000,60000,528,528,0.8979977495082418,139,true
170,10200000,10260000,60000,597,597,1.0153497281371597,93,true
171,10260000,10320000,60000,576,576,0.9796339085544457,111,true
172,10320000,10380000,60000,755,755,1.2840687516642473,11,true
173,10380000,10440000,60000,758,758,1.289171011604635,9,true
174,10440000,10500000,60000,678,678,1.1531107465276287,53,true
175,10500000,10560000,60000,749,749,1.2738642317834719,14,true
176,10560000,10620000,60000,757,757,1.2874702582911723,10,true
177,10620000,10680000,60000,808,808,1.374208677277764,4,true
178,10680000,10740000,60000,765,765,1.301076284798873,8,true
179,10740000,10800000,60000,752,752,1.2789664917238595,13,true
180,10800000,10860000,60000,692,692,1.1769212929161048,43,true
181,10860000,10920000,60000,708,708,1.204133345931506,33,true
182,10920000,10980000,60000,681,681,1.1582130064680165,48,true
183,10980000,11040000,60000,723,723,1.2296446456334447,23,true
184,11040000,11100000,60000,793,793,1.3486973775758253,5,true
185,11100000,11160000,60000,743,743,1.2636597119026964,17,true
186,11160000,11220000,60000,864,864,1.4694508628316685,3,true
187,11220000,11280000,60000,709,709,1.2058340992449685,29,true
188,11280000,11340000,60000,583,583,0.9915391817486836,104,true
189,11340000,11400000,60000,409,409,0.6956081052061949,181,true
190,11400000,11460000,60000,616,616,1.0476640410929488,86,true
191,11460000,11520000,60000,579,579,0.9847361684948334,108,true
192,11520000,11580000,60000,676,676,1.1497092399007036,56,true
193,11580000,11640000,60000,546,546,0.9286113091505682,129,true
194,11640000,11700000,60000,577,577,0.9813346618679082,110,true
195,11700000,11760000,60000,1278,1278,2.1735627346051762,2,true
196,11760000,11820000,60000,1548,1548,2.6327661292400726,1,true
197,11820000,11880000,60000,695,695,1.1820235528564926,42,true
198,11880000,11898441,18441,282,917.5207418252805,1.5604764418299895,,false
